name,url,party,state,district,chamber,start,end
"Brooks, Mo",https://www.congress.gov/member/mo-brooks/B001274,Republican,Alabama,5,House,2011,inf
"Brooks, Susan W.",https://www.congress.gov/member/susan-brooks/B001284,Republican,Indiana,5,House,2013,inf
"Broun, Paul C.",https://www.congress.gov/member/paul-broun/B001262,Republican,Georgia,10,House,2007,2015
"Brown, Anthony G.",https://www.congress.gov/member/anthony-brown/B001304,Democratic,Maryland,4,House,2017,inf
"Brown, Corrine",https://www.congress.gov/member/corrine-brown/B000911,Democratic,Florida,5,House,2013,2017
"Brown, Corrine",https://www.congress.gov/member/corrine-brown/B000911,Democratic,Florida,3,House,1993,2013
"Brown, Henry E., Jr.",https://www.congress.gov/member/henry-brown/B001235,Republican,South Carolina,1,House,2001,2011
"Brown, Scott P.",https://www.congress.gov/member/scott-brown/B001268,Republican,Massachusetts,N/A,Senate,2010,2013
"Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Democratic,Ohio,0,Senate,2007,inf
"Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Democratic,Ohio,13,House,1993,2007
"Brown-Waite, Ginny",https://www.congress.gov/member/ginny-brown-waite/B001247,Republican,Florida,5,House,2003,2011
"Brownback, Sam",https://www.congress.gov/member/sam-brownback/B000953,Republican,Kansas,0,Senate,1997,2011
"Brownback, Sam",https://www.congress.gov/member/sam-brownback/B000953,Republican,Kansas,2,House,1995,1996
"Brownley, Julia",https://www.congress.gov/member/julia-brownley/B001285,Democratic,California,26,House,2013,inf
"Buchanan, Vern",https://www.congress.gov/member/vern-buchanan/B001260,Republican,Florida,16,House,2013,inf
"Buchanan, Vern",https://www.congress.gov/member/vern-buchanan/B001260,Republican,Florida,13,House,2007,2013
"Buck, Ken",https://www.congress.gov/member/ken-buck/B001297,Republican,Colorado,4,House,2015,inf
"Bucshon, Larry",https://www.congress.gov/member/larry-bucshon/B001275,Republican,Indiana,8,House,2011,inf
"Budd, Ted",https://www.congress.gov/member/ted-budd/B001305,Republican,North Carolina,13,House,2017,inf
"Buerkle, Ann Marie",https://www.congress.gov/member/ann-buerkle/B001276,Republican,New York,25,House,2011,2013
"Bunning, Jim",https://www.congress.gov/member/jim-bunning/B001066,Republican,Kentucky,0,Senate,1999,2011
"Bunning, Jim",https://www.congress.gov/member/jim-bunning/B001066,Republican,Kentucky,4,House,1987,1999
"Burchett, Tim",https://www.congress.gov/member/tim-burchett/B001309,Republican,Tennessee,2,House,2019,inf
"Burgess, Michael C.",https://www.congress.gov/member/michael-burgess/B001248,Republican,Texas,26,House,2003,inf
"Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,Republican,North Carolina,0,Senate,2005,inf
"Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,Republican,North Carolina,5,House,1995,2005
"Burris, Roland",https://www.congress.gov/member/roland-burris/B001266,Democratic,Illinois,N/A,Senate,2009,2010
